baseline,horizon_h,variable,mae,se,err
patchtst,24,temperature_2m,0.0031298196896578645,9.795771289770052e-06,-0.0031298196896578645
patchtst,24,relative_humidity_2m,4.212404148893754,17.74434871361731,4.212404148893754
patchtst,24,cloud_cover,4.336176728275561,18.802428618838547,4.336176728275561
patchtst,24,wind_speed_100m,1.9381280024508531,3.756340153884134,-1.9381280024508531
patchtst,24,wind_speed_10m,1.7232603357924825,2.9696261849156196,-1.7232603357924825
patchtst,24,surface_pressure,0.017379525293222287,0.0003020478994177532,0.017379525293222287
patchtst,24,precipitation,0.26978834547650704,0.07278575135495112,-0.26978834547650704
patchtst,48,temperature_2m,0.22955823649717289,0.052696983943691954,-0.22955823649717289
patchtst,48,relative_humidity_2m,4.978457982564279,24.785043884157997,4.978457982564279
patchtst,48,cloud_cover,47.178636356299705,2225.8237284399643,-47.178636356299705
patchtst,48,wind_speed_100m,1.1586305132562167,1.342424666248364,-1.1586305132562167
patchtst,48,wind_speed_10m,0.896894022251753,0.8044188871509279,-0.896894022251753
patchtst,48,surface_pressure,1.2550363457776257,1.575116229222856,-1.2550363457776257
patchtst,48,precipitation,0.19347277694874776,0.0374317154202599,-0.19347277694874776
patchtst,72,temperature_2m,0.9783414054998385,0.9571519057153994,-0.9783414054998385
patchtst,72,relative_humidity_2m,0.9165386790536445,0.8400431502013995,-0.9165386790536445
patchtst,72,cloud_cover,6.255814916680663,39.13522027176429,-6.255814916680663
patchtst,72,wind_speed_100m,3.5325814494296868,12.479131696854747,-3.5325814494296868
patchtst,72,wind_speed_10m,1.7293601406875831,2.990686496198977,-1.7293601406875831
patchtst,72,surface_pressure,2.076366278614728,4.311296922968374,-2.076366278614728
patchtst,72,precipitation,0.09691866275597505,0.009393227190406426,-0.09691866275597505
ecmwf_crudo,1,temperature_2m,1.1999999999999993,1.4399999999999984,-1.1999999999999993
ecmwf_crudo,1,relative_humidity_2m,5.0,25.0,-5.0
ecmwf_crudo,1,cloud_cover,24.0,576.0,24.0
ecmwf_crudo,1,wind_speed_10m,2.4000000000000004,5.760000000000002,-2.4000000000000004
ecmwf_crudo,1,surface_pressure,1.7999999999999545,3.2399999999998363,-1.7999999999999545
ecmwf_crudo,6,temperature_2m,0.8000000000000007,0.6400000000000011,-0.8000000000000007
ecmwf_crudo,6,relative_humidity_2m,2.0,4.0,-2.0
ecmwf_crudo,6,cloud_cover,33.0,1089.0,33.0
ecmwf_crudo,6,wind_speed_10m,2.3000000000000003,5.290000000000001,-2.3000000000000003
ecmwf_crudo,6,surface_pressure,0.8999999999999773,0.8099999999999591,-0.8999999999999773
ecmwf_crudo,12,shortwave_radiation,158.0,24964.0,-158.0
ecmwf_crudo,12,temperature_2m,2.8000000000000007,7.840000000000004,-2.8000000000000007
ecmwf_crudo,12,relative_humidity_2m,24.0,576.0,24.0
ecmwf_crudo,12,cloud_cover,95.0,9025.0,95.0
ecmwf_crudo,12,wind_speed_10m,1.5,2.25,-1.5
ecmwf_crudo,12,surface_pressure,2.1000000000000227,4.410000000000095,-2.1000000000000227
ecmwf_crudo,24,temperature_2m,0.6999999999999993,0.489999999999999,-0.6999999999999993
ecmwf_crudo,24,relative_humidity_2m,4.0,16.0,-4.0
ecmwf_crudo,24,cloud_cover,21.0,441.0,21.0
ecmwf_crudo,24,wind_speed_10m,3.8000000000000003,14.440000000000001,-3.8000000000000003
ecmwf_crudo,24,surface_pressure,1.7999999999999545,3.2399999999998363,-1.7999999999999545
ecmwf_crudo,48,temperature_2m,1.1999999999999993,1.4399999999999984,-1.1999999999999993
ecmwf_crudo,48,relative_humidity_2m,3.0,9.0,-3.0
ecmwf_crudo,48,cloud_cover,38.0,1444.0,-38.0
ecmwf_crudo,48,wind_speed_10m,2.8,7.839999999999999,-2.8
ecmwf_crudo,48,surface_pressure,2.400000000000091,5.760000000000437,-2.400000000000091
ecmwf_crudo,72,temperature_2m,1.5,2.25,-1.5
ecmwf_crudo,72,relative_humidity_2m,4.0,16.0,-4.0
ecmwf_crudo,72,cloud_cover,24.0,576.0,24.0
ecmwf_crudo,72,wind_speed_10m,5.9,34.81,-5.9
ecmwf_crudo,72,surface_pressure,2.400000000000091,5.760000000000437,-2.400000000000091
persistence,1,temperature_2m,1.5,2.25,1.5
persistence,1,relative_humidity_2m,8.0,64.0,8.0
persistence,1,cloud_cover,12.0,144.0,12.0
persistence,1,wind_speed_100m,3.0999999999999996,9.609999999999998,3.0999999999999996
persistence,1,wind_speed_10m,1.3,1.6900000000000002,1.3
persistence,1,surface_pressure,1.6000000000000227,2.560000000000073,1.6000000000000227
persistence,1,precipitation,0.3,0.09,0.3
