contendiente,horizonte_h,variable,mae,rmse,bias,n
ecmwf_crudo,48,surface_pressure,1.5974999999999988,1.7011209539594763,-1.5974999999999988,320
ecmwf_crudo,48,temperature_2m,1.1846875000000001,1.5536147366705815,0.6646875000000001,320
ecmwf_crudo,48,wind_speed_10m,8.959999999999999,9.687275803857347,-8.939375,320
ecmwf_crudo,72,cloud_cover,13.50625,19.43579172557681,-8.1625,320
ecmwf_crudo,72,relative_humidity_2m,12.7625,14.476489560663524,-8.775,320
ecmwf_crudo,72,shortwave_radiation,46.86875,66.64397009482553,23.63125,160
ecmwf_crudo,72,surface_pressure,1.589687499999999,1.695388967169481,-1.589687499999999,320
ecmwf_crudo,72,temperature_2m,1.2037499999999999,1.5776168736420133,0.70875,320
ecmwf_crudo,72,wind_speed_10m,9.0896875,9.792798693427738,-9.0778125,320
mos,1,cloud_cover,14.690625,21.256837135378348,-7.853125,320
mos,1,diffuse_radiation,37.438672883637636,55.87952175159747,-29.372615387629153,157
mos,1,direct_normal_irradiance,141.22880601970138,171.88881870262054,121.4372794588294,157
mos,1,precipitation,0.0871875,0.2541530050973232,-0.004687500000000002,320
mos,1,relative_humidity_2m,5.82776242537544,7.196746849863561,-3.173024468877725,320
mos,1,shortwave_radiation,37.90515014041749,63.90472401519006,21.700927144120442,157
mos,1,surface_pressure,0.35976946513329866,0.46404114471283203,0.10298844746211486,320
mos,1,temperature_2m,0.6197141261795565,0.8217119193775013,0.4047734414666774,320
mos,1,wind_speed_100m,4.667993813970278,5.900773010516101,4.538393761692409,320
mos,1,wind_speed_10m,2.5121814151609385,3.3980155122107654,2.388557612822118,320
mos,6,cloud_cover,13.39375,19.556808277426047,-8.05,320
mos,6,diffuse_radiation,43.49812846281533,59.64532166928896,-30.347443484946268,160
mos,6,direct_normal_irradiance,159.02686654081572,191.12491719286297,141.47235517262925,160
mos,6,precipitation,0.12281249999999999,0.3805013140581777,0.028437499999999998,320
mos,6,relative_humidity_2m,6.7381820611312815,8.200348551737447,-3.994576370425333,320
mos,6,shortwave_radiation,46.69114876048231,63.42184353568933,21.712736903410345,160
mos,6,surface_pressure,0.4301716380571623,0.5247431100525921,0.2827586380146581,320
mos,6,temperature_2m,0.8133289856291578,1.0288337265392955,0.6288472584697448,320
mos,6,wind_speed_100m,4.713545426285878,5.893091327923977,4.624239735828969,320
mos,6,wind_speed_10m,2.5413127381290614,3.342415092916499,2.415344966316119,320
mos,12,cloud_cover,13.40625,19.458770516145155,-8.0625,320
mos,12,diffuse_radiation,45.56832602021365,62.76348231387621,-34.1734375084044,160
mos,12,direct_normal_irradiance,159.44706768638764,191.43572832074508,141.96696220305952,160
mos,12,precipitation,0.123125,0.380542376089707,0.028125,320
mos,12,relative_humidity_2m,7.00460658941512,8.556215351007044,-4.178446716773212,320
mos,12,shortwave_radiation,46.984249839234806,64.14709462861713,20.574565785377686,160
mos,12,surface_pressure,0.43432169528334796,0.5323508797510815,0.27897074037831404,320
mos,12,temperature_2m,0.8113456887318682,1.032719948535083,0.6225182446716299,320
mos,12,wind_speed_100m,4.759594152431328,5.929235605006227,4.671490218974233,320
mos,12,wind_speed_10m,2.5738349530303344,3.3670376090264074,2.4332090647427465,320
mos,24,cloud_cover,13.60625,19.615523189555766,-8.45,320
mos,24,diffuse_radiation,45.55855147072257,64.33746210889763,-31.774999434937996,160
mos,24,direct_normal_irradiance,162.50587509633343,194.9276929225187,146.21379186774558,160
mos,24,precipitation,0.113125,0.3382861215007201,0.017499999999999998,320
mos,24,relative_humidity_2m,6.990736823021583,8.534149989788844,-4.243532241682772,320
mos,24,shortwave_radiation,48.67293009240484,65.95146991322284,24.39994118386337,160
mos,24,surface_pressure,0.4334848338488026,0.5272151065450348,0.28584948335312144,320
mos,24,temperature_2m,0.810569071376125,1.0230833023404267,0.6308986828402618,320
mos,24,wind_speed_100m,4.826182010800158,6.005377949709245,4.735536096685655,320
mos,24,wind_speed_10m,2.6203081010327365,3.417456011408906,2.476939354200975,320
mos,48,cloud_cover,13.41875,19.34069543734144,-8.1375,320
mos,48,diffuse_radiation,48.04209019207789,64.90948329861716,-31.792742472171703,160
mos,48,direct_normal_irradiance,162.06537398918834,195.45350558489287,142.69868656575596,160
mos,48,precipitation,0.1184375,0.3612045819199972,0.0140625,320
mos,48,relative_humidity_2m,7.318937699594917,8.899135951385174,-4.600798544424771,320
mos,48,shortwave_radiation,49.518012913941746,68.07402864292446,25.4644771691474,160
mos,48,surface_pressure,0.44919429814124034,0.5537796335144289,0.28281212419755625,320
mos,48,temperature_2m,0.8739927206301219,1.0832361613556336,0.6792484286502899,320
mos,48,wind_speed_100m,4.869683339931728,6.041069096775781,4.808993322483254,320
mos,48,wind_speed_10m,2.6121955335544174,3.401661719748412,2.4855881507029176,320
mos,72,cloud_cover,13.50625,19.43579172557681,-8.1625,320
mos,72,diffuse_radiation,44.920236271508514,60.41540220529519,-28.867367522492934,160
mos,72,direct_normal_irradiance,162.28984580510073,195.8177848466794,143.9626775897571,160
mos,72,precipitation,0.1065625,0.3312382073372575,0.0021875000000000006,320
mos,72,relative_humidity_2m,7.473143540280288,8.925829286795379,-4.978880879883932,320
mos,72,shortwave_radiation,51.78273404554617,70.6252182736606,28.114339344641905,160
mos,72,surface_pressure,0.4586348945732809,0.5782480894973768,0.2945380116282458,320
mos,72,temperature_2m,0.8869777018664123,1.1103395469152542,0.7077260310357403,320
mos,72,wind_speed_100m,4.970642465183058,6.141442471686411,4.900711166250909,320
mos,72,wind_speed_10m,2.6411540558628896,3.4349850614053095,2.5178029745474406,320
patchtst,1,cloud_cover,11.403567299185475,15.698342418988942,-4.2526164006316005,320
patchtst,1,diffuse_radiation,54.13957254276271,67.72343174763002,-0.6493704277901527,157
patchtst,1,direct_normal_irradiance,210.30517508926548,252.40939131787775,174.7730267095616,157
patchtst,1,precipitation,0.07321531248341405,0.2502960031677541,0.027046171183553423,320
patchtst,1,relative_humidity_2m,4.068173951403803,5.283953768485082,-0.95087339982638,320
patchtst,1,shortwave_radiation,84.8465324190666,106.89001433012464,50.21891564031204,157
patchtst,1,surface_pressure,0.3155667424968286,0.41433270314642057,-0.04943282337567041,320
patchtst,1,temperature_2m,0.4852888967832677,0.6258842885082123,0.02902225668609774,320
patchtst,1,wind_speed_100m,1.7650255315412895,2.201052926535385,0.29441609188414464,320
patchtst,1,wind_speed_10m,1.1205944800454866,1.442083814990288,0.14117098924744964,320
patchtst,6,cloud_cover,19.595904456710283,25.663012456351893,-9.220085840766213,320
patchtst,6,diffuse_radiation,42.729993160023625,58.982699740735185,-2.008193693121977,160
patchtst,6,direct_normal_irradiance,194.62095465290162,234.48182158961362,75.26915139738176,160
patchtst,6,precipitation,0.1421682592692836,0.40339560666749363,0.03641933492956663,320
patchtst,6,relative_humidity_2m,8.067423856912265,10.910834290510556,-2.2527160628224534,320
