modo,estrategia,fecha,pv_kwh,costo_total,costo_norm,diesel_L,diesel_h,ens_kwh,ens_h,deficit_kwh,deficit_max_kw,soc_start_kwh,soc_min_kwh,soc_final_kwh,import_kwh,export_kwh,curtailed_kwh,viol
grid10,heur,2026-08-01,203.5248635202317,71471.32992729865,71471.32992729865,705.1132992729865,24,0.0,0,0.0,0.0,41.30393907309672,41.30393907309672,41.30393907309672,7.105427357601002e-15,173.59700740060595,232.7734455974999,0
grid10,heur,2026-08-02,210.5356350872605,71411.37779093136,71411.37779093136,704.5137779093136,24,0.0,0,0.0,0.0,41.30393907309672,41.30393907309672,41.30393907309672,0.0,178.7584029206115,233.6121557130589,0
grid10,heur,2026-08-03,162.88303947567306,72271.49750029441,72271.49750029441,713.1149750029442,24,0.0,0,0.0,0.0,41.30393907309672,41.30393907309672,41.30393907309672,0.0,150.72119674582694,228.1504802038122,0
grid10,heur,2026-08-04,205.22886252549716,71614.80711763274,71614.80711763274,706.5480711763273,24,0.0,0,0.0,0.0,41.30393907309672,41.30393907309672,41.30393907309672,0.0,174.02231977613204,236.37236629267025,0
grid10,heur,2026-08-05,114.5457078177002,73187.49100031784,73187.49100031784,722.2749100031783,24,0.0,0,0.0,0.0,41.30393907309672,41.30393907309672,41.30393907309672,0.0,118.91640765498516,226.7482872522207,0
grid10,heur,2026-08-06,134.58682847205665,72901.33400549756,72901.33400549756,719.4133400549756,24,0.0,0,0.0,0.0,41.30393907309672,41.30393907309672,41.30393907309672,0.0,134.3591903462233,226.6441281822182,0
grid10,mpc-pi,2026-07-24,198.01842405805309,58702.992685377874,56409.655843272616,461.3711795230001,15,0.0008496667535364,4,0.0008496667535469,0.0004295831492822,130.0,78.5031578947368,158.6667105263157,89.99952220585702,14.668897868529848,2.727742119441878,0
grid10,mpc-pi,2026-07-25,207.10425167565415,56618.738770917655,56562.75771828608,452.542887516,15,0.0021630819834523,8,0.002163081983463,0.0004552228221132,158.6667105263157,107.74776315789468,159.36647368421043,90.000932617505,35.29875491799095,6.211436514459763,0
grid10,mpc-pi,2026-07-26,179.77616604562493,57766.77509639024,56477.44604375867,457.678935738,15,0.0008239428115324,4,0.0008239428115506,0.0004281119810993,159.36647368421043,108.26857894736833,175.48308684210514,90.00074652684134,6.448580572585904,0.0,0
grid10,mpc-pi,2026-07-27,178.7858418577156,56794.67295978402,56805.395486099806,454.4084062,15,0.0016541885506846,7,0.0016541885506864,0.0004386175337085,175.48308684210514,124.08098157894726,175.34905526315777,90.0003300529636,17.127670156537988,0.0,0
grid10,mpc-pi,2026-07-28,204.27943056075685,56248.73250020687,57096.70786862793,453.3971840340001,15,0.0004216190247898,3,0.0004216190247978,0.0001856032740903,175.34905526315777,123.84273947368408,164.74936315789455,90.0006604718292,46.88472399904428,5.087632709874612,0
grid10,mpc-pi,2026-07-29,180.47724219655015,56740.55997352325,56889.765236681145,454.742953878,15,9.422439507389412e-05,1,9.422439507389412e-05,9.422439507389412e-05,164.74936315789455,113.42831052631564,162.88429736842087,90.00028573386284,17.533139397326835,3.673326814789348,0
grid10,mpc-pi,2026-07-30,194.2763031773748,56853.79238142169,57023.19638142169,455.801193919,15,0.0012289425264597,5,0.0012289425264633,0.0003992291451915,162.88429736842087,111.27692894736823,160.7667473684209,90.00139811927497,31.483187877113508,5.495586419370781,0
grid10,mpc-pi,2026-07-31,192.6368020766043,56917.82683613051,56790.92683613051,455.0842203860001,15,0.0016894493606312,5,0.0016894493606312,0.0004717795977615,160.7667473684209,109.31411578947356,162.35299736842092,90.00021025536245,24.699177043939216,5.614368794696212,0
grid10,mpc-pi,2026-08-01,203.5248635202317,56844.12676367321,56369.97392156794,453.112835137,15,0.0001516593010606,1,0.0001516593010757,0.0001516593010606,162.35299736842092,111.52141842105247,168.27990789473668,89.99936512372737,19.576197050814308,13.863027309753924,0
grid10,mpc-pi,2026-08-02,210.5356350872605,56520.46086065347,56685.55980802189,452.513751165,15,0.0006014339559818,4,0.0006014339559925,0.0003230004469152,168.27990789473668,116.93780263157876,166.2161710526314,90.0002753343338,39.17600796270299,8.586347950155371,0
grid10,mpc-pi,2026-08-03,162.88303947567306,57511.34355400688,58195.72376453319,465.4328628730001,15,0.001038828588701,4,0.0010388285887046,0.0003727445506207,166.2161710526314,115.17301315789456,157.66141842105245,90.00019059447654,27.451183814826894,0.795929141219446,0
grid10,mpc-pi,2026-08-04,205.22886252549716,57538.51143449931,56113.69859239404,454.548101614,15,0.0010291411162342,4,0.0010291411162395,0.0003718365892986,157.66141842105245,106.41931315789452,175.4715789473684,90.00053869014913,19.74931512311229,5.148959290958288,0
